Region,Year,Crop,Area planted (ha),Production,Yield
SAINT-LOUIS,2019,Fonio,246,243,1.089
SAINT-LOUIS,2019,Cowpea,8492,4076,1.584
SAINT-LOUIS,2019,Rice,2012,0,2.42
SAINT-LOUIS,2017,Maize,2350,5485,2.5674
SAINT-LOUIS,2016,Maize,2136,5018,2.695
SAINT-LOUIS,2018,Maize,2929,9012,3.3847
SAINT-LOUIS,2019,Sorghum,8599,7101,3.597
SAINT-LOUIS,2018,Rice,61871,400291,7.117
SAINT-LOUIS,2017,Rice,61215,420636,7.5581
SAINT-LOUIS,2016,Rice,57085,399224,7.6923
SAINT-LOUIS,2016,Cassava,530,3859,8.0157
SAINT-LOUIS,2019,Maize,5337,14455,9.35
SAINT-LOUIS,2016,Watermelon,1379,18514,11.7865
SAINT-LOUIS,2017,Watermelon,1517,19503,14.1438
SAINT-LOUIS,2018,Watermelon,6517,85944,14.5068
SAINT-LOUIS,2017,Cassava,733,16152,24.2528
SAINT-LOUIS,2018,Cassava,2000,50000,27.5
SAINT-LOUIS,2019,Watermelon,7866,92426,40.15
SAINT-LOUIS,2019,Cassava,2410,58050,60.5
SAINT-LOUIS,2016,Sesame,0,0,0
SAINT-LOUIS,2017,Sesame,0,0,0
SAINT-LOUIS,2018,Sesame,,,0
SAINT-LOUIS,2016,Fonio,0,0,0
SAINT-LOUIS,2017,Fonio,0,0,0
SAINT-LOUIS,2018,Fonio,,,0
SEDHIOU,2017,Cowpea,1971,683,0.5093
SEDHIOU,2017,Sesame,4231,2295,0.5962
SEDHIOU,2016,Sesame,2588,1448,0.6402
SEDHIOU,2018,Sesame,3377,2167,0.7062
SEDHIOU,2018,Cowpea,1536,1128,0.8074
SEDHIOU,2019,Fonio,299,226,0.8305
SEDHIOU,2016,Fonio,2877,2317,0.8613
SEDHIOU,2018,Fonio,3392,2692,0.8734
SEDHIOU,2016,Cowpea,858,660,0.8789
SEDHIOU,2017,Fonio,3079,2479,0.8855
SEDHIOU,2016,Millet,36515,33877,1.0208
SEDHIOU,2017,Millet,36130,33792,1.0285
SEDHIOU,2016,Sorghum,14251,16354,1.2628
SEDHIOU,2017,Sorghum,15677,17989,1.2628
SEDHIOU,2018,Sorghum,18122,21169,1.2848
SEDHIOU,2018,Millet,32604,39124,1.32
SEDHIOU,2017,Peanut,55611,67064,1.3266
SEDHIOU,2016,Peanut,50174,50174,1.6016
SEDHIOU,2018,Peanut,30303,47526,1.7248
SEDHIOU,2019,Cowpea,2191,1346,2.0207
SEDHIOU,2019,Sesame,3955,2427,2.0526
SEDHIOU,2016,Maize,37621,71005,2.0911
SEDHIOU,2017,Maize,41383,82766,2.2
SEDHIOU,2018,Maize,36824,73648,2.2
SEDHIOU,2017,Rice,66700,155230,2.5597
SEDHIOU,2019,Millet,27836,23668,2.8083
SEDHIOU,2018,Rice,54625,142025,2.86
SEDHIOU,2016,Rice,60265,174264,3.1812
SEDHIOU,2019,Peanut,34389,53241,4.895
SEDHIOU,2019,Rice,25400,62831,5.4505
